Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01-28-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.74,45.662,46.701,46.655,47.741,46.858,48.577,48.865,49.09,49.172,42.587,25.996,49.591,49.828,49.16,50.292,50.647,51.197,51.254,51.464,51.85,52.169,52.54,53.011,53.54,53.897,54.415,54.926,55.027,55.089,55.989,54.154,57.635,57.927,58.617,59.467,59.492,61.427,63.917,66.228,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659,71.46341463,74.36097561,
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.33,52.112,53.697,55.285,56.778,58.228,59.656,61.002,62.31,63.475,64.45,65.607,66.373,67.183,67.864,68.466,69.118,69.604,69.978,70.456,70.826,71.183,71.47,71.668,72.012,72.106,72.269,72.369,72.444,72.619,72.668,72.764,72.953,73.375,73.517,73.799,74.355,74.535,74.641,74.98,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.896,63.185,63.433,63.732,64.05,64.362,64.659,64.948,65.328,65.646,65.926,66.151,66.413,66.488,67.001,67.221,67.84,67.88,67.562,67.366,67.521,67.746,68.436,69.161,69.351,69.257,69.285,68.924,69.215,69.598,70.133,69.616,70.668,70.656,70.851,70.763,70.71,71.054,71.456,71.771,72.041,72.11,72.232,72.402,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,71.598,74.358,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.037,61.856,62.511,63.274,63.948,64.555,65.171,65.553,65.883,66.2,66.688,67.163,67.672,68.216,68.862,69.405,69.648,70.041,70.132,70.34,70.543,70.7,70.875,71.081,71.036,70.799,71.239,71.676,71.755,71.781,72.349,72.089,51.785,51.519,67.209,70.284,73.43,73.686,73.901,75.076,74.496,75.06,74.612,75.782,76.133,75.42,76.247,76.161,76.838,76.976,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225,75.3,75.293,
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.25460976,69.73839024,69.46231707,69.70978049,70.6192439,70.5974878,70.76892683,70.92978049,70.81278049,70.97802439,70.7444878,71.01170732,70.84931707,71.00065854,70.85468293,70.45709756,70.39682927,70.28902439,70.08173171,69.93363415,69.92770732,69.9075122,70.07690244,69.79485366,69.56319512,70.99268293,71.5495122,70.9902439,71.34146341,71.48292683,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.45721951,72.37068293,73.11146341,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.163,53.356,59,59.569,60.057,60.629,60.963,61.5,62.192,62.77,63.468,64.204,64.453,64.622,65.03,65.942,66.268,66.518,66.885,67.399,67.756,68.068,67.955,68.14,68.64,69.462,69.704,70.198,70.781,70.724,70.744,70.248,69.979,69.988,70.316,69.887,69.806,69.212,68.599,68.773,68.564,68.357,68.752,68.909,69.227,69.376,70.093,70.655,71.151,71.819,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,70.47,70.962,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.162,64.111,63.837,63.778,67.641,67.848,63.426,68.358,68.535,68.211,69.478,68.502,69.961,71.888,72.394,72.573,71.862,72.083,72.854,73.299,73.454,73.684,73.746,74.116,74.526,73.337,73.428,73.996,74.91,74.269,74.5,74.886,73.8,74.487,73.608,76.137,78.225,77.995,79.949,79.053,78.858,79.871,80.631,79.345,81.12,77.927,77.585,79.361,78.623,79.996,80.499,81.403,81.272,79.992,79.518,80.918,80.608,82.351,80.825,81.033,81.136,79.28,81.571,
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.1,43.4,43.791,44.077,44.366,44.712,45.118,45.419,45.796,46.215,46.597,47.061,47.497,47.975,48.446,48.826,49.264,49.734,50.181,50.665,51.181,51.619,52.053,52.405,52.971,53.446,53.929,54.492,55.156,55.772,56.422,57.097,57.629,58.418,58.989,59.534,60.084,60.752,61.332,61.871,62.346,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63,64.928,
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.66,53.183,53.71,54.209,54.648,55.084,55.473,55.868,56.31,56.748,57.171,57.586,58.032,58.472,58.881,59.353,59.792,60.24,60.72,61.253,61.781,62.333,62.856,63.331,63.773,64.198,64.64,65.08,65.454,65.868,65.985,66.31,66.708,67.109,67.568,67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.564,65.318,65.897,66.487,67.02,67.376,67.805,67.944,68.114,68.44,68.272,68.598,68.929,69.167,69.519,69.921,70.208,70.719,71.122,71.526,71.921,72.12,72.297,72.537,72.596,72.495,72.568,72.675,72.652,72.74,72.752,72.843,72.915,73.19,73.211,73.298,73.546,73.547,73.728,74.039,74.089,74.247,74.366,74.472,74.727,74.89,75.068,75.342,75.447,75.678,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,77.571,77.706,
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.793,57.817,57.667,59.779,60.582,61.193,61.963,62.511,63.005,63.553,64.11,64.699,65.35,65.963,66.528,67.107,67.608,68.075,68.487,68.862,69.246,69.54,69.841,70.09,70.358,70.582,70.847,71.019,71.236,71.445,71.656,71.871,72.081,72.312,72.553,72.816,73.1,73.364,73.619,73.863,74.08,74.276,74.426,74.561,74.65,74.731,74.783,74.818,74.84,74.846,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795,74.642,74.551,
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.465,33.946,34.469,35.029,35.618,36.24,36.901,37.584,38.266,39.127,39.953,40.753,41.586,42.451,43.265,44.09,44.947,45.789,46.599,47.411,48.218,49.034,49.853,50.637,51.4,52.118,52.919,53.72,54.513,55.261,55.968,56.642,57.423,58.117,58.635,59.516,60.212,60.852,61.549,62.23,62.01,63.444,64.078,64.696,65.268,65.805,66.362,66.954,67.499,67.897,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609,71.815,72.229,
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.372,50.891,51.389,51.881,52.349,52.809,53.264,53.721,54.188,54.684,55.197,55.745,56.3,56.861,57.424,57.998,58.583,59.169,59.691,60.176,60.646,61.125,61.57,62.004,62.364,62.626,62.678,62.522,61.755,61.427,60.533,59.473,58.348,57.719,56.154,55.059,54.357,53.448,52.523,51.694,51.011,50.676,50.632,50.947,51.617,52.61,53.918,55.732,57.121,58.279,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647,61.141,65.913,
